"dec","hex","ascii",0,1,2,3,4,5,6,7,8,"friden
bull","upper","friden
 president",
123,"7B","{","☻","☻","","●","☻","☻","☻","☻","",,,,
124,"7C","|","","","☻","●","☻","☻","☻","☻","","o","O","tab","tab"
125,"7D","}","☻","","☻","●","☻","☻","☻","☻","",,,,
126,"7E","~","","☻","☻","●","☻","☻","☻","☻","",,,,
127,"7F","","☻","☻","☻","●","☻","☻","☻","☻","",,,,
128,"80","ﾀ","","","","●","","","","","☻",,,"cr","cr"
129,"81","ﾁ","☻","","","●","","","","","☻",,,,
130,"82","ﾂ","","☻","","●","","","","","☻",,,,
131,"83","ﾃ","☻","☻","","●","","","","","☻",,,,
132,"84","ﾄ","","","☻","●","","","","","☻",,,,
133,"85","ﾅ","☻","","☻","●","","","","","☻",,,,
134,"86","ﾆ","","☻","☻","●","","","","","☻",,,,
135,"87","ﾇ","☻","☻","☻","●","","","","","☻",,,,
136,"88","ﾈ","","","","●","☻","","","","☻",,,,
137,"89","ﾉ","☻","","","●","☻","","","","☻",,,,
138,"8A","ﾊ","","☻","","●","☻","","","","☻",,,,
139,"8B","ﾋ","☻","☻","","●","☻","","","","☻",,,,
140,"8C","ﾌ","","","☻","●","☻","","","","☻",,,,
141,"8D","ﾍ","☻","","☻","●","☻","","","","☻",,,,
142,"8E","ﾎ","","☻","☻","●","☻","","","","☻",,,,
143,"8F","ﾏ","☻","☻","☻","●","☻","","","","☻","^","¨",,
144,"90","ﾐ","","","","●","","☻","","","☻",,,,
145,"91","ﾑ","☻","","","●","","☻","","","☻",,,,
146,"92","ﾒ","","☻","","●","","☻","","","☻",,,,
147,"93","ﾓ","☻","☻","","●","","☻","","","☻",,,,
148,"94","ﾔ","","","☻","●","","☻","","","☻",,,,
149,"95","ﾕ","☻","","☻","●","","☻","","","☻",,,,
150,"96","ﾖ","","☻","☻","●","","☻","","","☻",,,,
151,"97","ﾗ","☻","☻","☻","●","","☻","","","☻",".",".",,
152,"98","ﾘ","","","","●","☻","☻","","","☻",,,,
153,"99","ﾙ","☻","","","●","☻","☻","","","☻",,,,
154,"9A","ﾚ","","☻","","●","☻","☻","","","☻",,,,
155,"9B","ﾛ","☻","☻","","●","☻","☻","","","☻",,,,
156,"9C","ﾜ","","","☻","●","☻","☻","","","☻",,,,
157,"9D","ﾝ","☻","","☻","●","☻","☻","","","☻",,,,
158,"9E","ﾞ","","☻","☻","●","☻","☻","","","☻",,,,
159,"9F","ﾟ","☻","☻","☻","●","☻","☻","","","☻",,,,
160,"A0","ﾠ","","","","●","","","☻","","☻",,,,
161,"A1","ﾡ","☻","","","●","","","☻","","☻",,,,
162,"A2","ﾢ","","☻","","●","","","☻","","☻",,,,
163,"A3","ﾣ","☻","☻","","●","","","☻","","☻",,,,
164,"A4","ﾤ","","","☻","●","","","☻","","☻",,,,
165,"A5","ﾥ","☻","","☻","●","","","☻","","☻",,,,
166,"A6","ﾦ","","☻","☻","●","","","☻","","☻",,,,
167,"A7","ﾧ","☻","☻","☻","●","","","☻","","☻","&",";",,
168,"A8","ﾨ","","","","●","☻","","☻","","☻",,,,
169,"A9","ﾩ","☻","","","●","☻","","☻","","☻",,,,
170,"AA","ﾪ","","☻","","●","☻","","☻","","☻",,,,
171,"AB","ﾫ","☻","☻","","●","☻","","☻","","☻",,,,
172,"AC","ﾬ","","","☻","●","☻","","☻","","☻",,,,
173,"AD","ﾭ","☻","","☻","●","☻","","☻","","☻",,,,
174,"AE","ﾮ","","☻","☻","●","☻","","☻","","☻",,,,
175,"AF","ﾯ","☻","☻","☻","●","☻","","☻","","☻",,,,
176,"B0","ﾰ","","","","●","","☻","☻","","☻",,,,
177,"B1","ﾱ","☻","","","●","","☻","☻","","☻",,,,
178,"B2","ﾲ","","☻","","●","","☻","☻","","☻",,,,
179,"B3","ﾳ","☻","☻","","●","","☻","☻","","☻",,,,
180,"B4","ﾴ","","","☻","●","","☻","☻","","☻",,,,
181,"B5","ﾵ","☻","","☻","●","","☻","☻","","☻",,,,
182,"B6","ﾶ","","☻","☻","●","","☻","☻","","☻",,,,
183,"B7","ﾷ","☻","☻","☻","●","","☻","☻","","☻",,,,
184,"B8","ﾸ","","","","●","☻","☻","☻","","☻",,,,
185,"B9","ﾹ","☻","","","●","☻","☻","☻","","☻",,,,
186,"BA","ﾺ","","☻","","●","☻","☻","☻","","☻",,,,
187,"BB","ﾻ","☻","☻","","●","☻","☻","☻","","☻",,,,
188,"BC","ﾼ","","","☻","●","☻","☻","☻","","☻",,,,
189,"BD","ﾽ","☻","","☻","●","☻","☻","☻","","☻",,,,
190,"BE","ﾾ","","☻","☻","●","☻","☻","☻","","☻",,,,
191,"BF","﾿","☻","☻","☻","●","☻","☻","☻","","☻",,,,
192,"C0","￀","","","","●","","","","☻","☻",,,,
193,"C1","￁","☻","","","●","","","","☻","☻",,,,
194,"C2","ￂ","","☻","","●","","","","☻","☻",,,,
195,"C3","ￃ","☻","☻","","●","","","","☻","☻",,,,
196,"C4","ￄ","","","☻","●","","","","☻","☻",,,,
197,"C5","ￅ","☻","","☻","●","","","","☻","☻",,,,
198,"C6","ￆ","","☻","☻","●","","","","☻","☻",,,,
199,"C7","ￇ","☻","☻","☻","●","","","","☻","☻","-","_",,
200,"C8","￈","","","","●","☻","","","☻","☻",,,,
201,"C9","￉","☻","","","●","☻","","","☻","☻",,,,
202,"CA","ￊ","","☻","","●","☻","","","☻","☻",,,,
203,"CB","ￋ","☻","☻","","●","☻","","","☻","☻",,,,
204,"CC","ￌ","","","☻","●","☻","","","☻","☻",,,,
205,"CD","ￍ","☻","","☻","●","☻","","","☻","☻",,,,
206,"CE","ￎ","","☻","☻","●","☻","","","☻","☻",,,,
207,"CF","ￏ","☻","☻","☻","●","☻","","","☻","☻",,,,
208,"D0","￐","","","","●","","☻","","☻","☻",,,,
209,"D1","￑","☻","","","●","","☻","","☻","☻",,,,
210,"D2","ￒ","","☻","","●","","☻","","☻","☻",,,,
211,"D3","ￓ","☻","☻","","●","","☻","","☻","☻",,,,
212,"D4","ￔ","","","☻","●","","☻","","☻","☻",,,,
213,"D5","ￕ","☻","","☻","●","","☻","","☻","☻",,,,
214,"D6","ￖ","","☻","☻","●","","☻","","☻","☻",,,,
215,"D7","ￗ","☻","☻","☻","●","","☻","","☻","☻",,,,
216,"D8","￘","","","","●","☻","☻","","☻","☻",,,,
217,"D9","￙","☻","","","●","☻","☻","","☻","☻",,,,
218,"DA","ￚ","","☻","","●","☻","☻","","☻","☻",,,,
219,"DB","ￛ","☻","☻","","●","☻","☻","","☻","☻",,,,
220,"DC","ￜ","","","☻","●","☻","☻","","☻","☻",,,,
221,"DD","￝","☻","","☻","●","☻","☻","","☻","☻",,,,
222,"DE","￞","","☻","☻","●","☻","☻","","☻","☻",,,,
223,"DF","￟","☻","☻","☻","●","☻","☻","","☻","☻",,,,
224,"E0","￠","","","","●","","","☻","☻","☻",,,,
225,"E1","￡","☻","","","●","","","☻","☻","☻",,,,
226,"E2","￢","","☻","","●","","","☻","☻","☻",,,,
227,"E3","￣","☻","☻","","●","","","☻","☻","☻",,,,
228,"E4","￤","","","☻","●","","","☻","☻","☻",,,,
229,"E5","￥","☻","","☻","●","","","☻","☻","☻",,,,
230,"E6","￦","","☻","☻","●","","","☻","☻","☻",,,,
231,"E7","￧","☻","☻","☻","●","","","☻","☻","☻",,,,
232,"E8","￨","","","","●","☻","","☻","☻","☻",,,,
233,"E9","￩","☻","","","●","☻","","☻","☻","☻",,,,
234,"EA","￪","","☻","","●","☻","","☻","☻","☻",,,,
235,"EB","￫","☻","☻","","●","☻","","☻","☻","☻",,,,
236,"EC","￬","","","☻","●","☻","","☻","☻","☻",,,,
237,"ED","￭","☻","","☻","●","☻","","☻","☻","☻",,,,
238,"EE","￮","","☻","☻","●","☻","","☻","☻","☻",,,,
239,"EF","￯","☻","☻","☻","●","☻","","☻","☻","☻",,,,
240,"F0","￰","","","","●","","☻","☻","☻","☻",,,,
241,"F1","￱","☻","","","●","","☻","☻","☻","☻",,,,
242,"F2","￲","","☻","","●","","☻","☻","☻","☻",,,,
243,"F3","￳","☻","☻","","●","","☻","☻","☻","☻",,,,
244,"F4","￴","","","☻","●","","☻","☻","☻","☻",,,,
245,"F5","￵","☻","","☻","●","","☻","☻","☻","☻",,,,
246,"F6","￶","","☻","☻","●","","☻","☻","☻","☻",,,,
247,"F7","￷","☻","☻","☻","●","","☻","☻","☻","☻",,,,
248,"F8","￸","","","","●","☻","☻","☻","☻","☻",,,,
249,"F9","￹","☻","","","●","☻","☻","☻","☻","☻",,,,
250,"FA","￺","","☻","","●","☻","☻","☻","☻","☻",,,,
251,"FB","￻","☻","☻","","●","☻","☻","☻","☻","☻",,,,
252,"FC","￼","","","☻","●","☻","☻","☻","☻","☻",,,,
253,"FD","�","☻","","☻","●","☻","☻","☻","☻","☻",,,,
254,"FE","?","","☻","☻","●","☻","☻","☻","☻","☻",,,,
255,"FF","?","☻","☻","☻","●","☻","☻","☻","☻","☻",,,,
,,,,,,,,,,,,,,,
"☻","●",,,,,,,,,,,,,,
".",,,,,,,,,,,,,,,
