"dec","hex","ascii",0,1,2,3,4,5,6,7,8,"friden
bull","upper","friden
 president",
1,"1","","☻","","","●","","","","","",1,"º",1,"“"
2,"2","","","☻","","●","","","","","",2,"“",2,"&"
3,"3","","☻","☻","","●","","","","","",,,,
4,"4","","","","☻","●","","","","","",4,"=",4,"="
5,"5","","☻","","☻","●","","","","","",,,,
6,"6","","","☻","☻","●","","","","","",,,,
7,"7","","☻","☻","☻","●","","","","","","α","β",7,"/"
8,"8","","","","","●","☻","","","","",0,")",8,"+"
9,"9","	","☻","","","●","☻","","","","",,,,
10,"A","CR","","☻","","●","☻","","","","",,,,
11,"B","","☻","☻","","●","☻","","","","","space","space","ctrl","ctrl"
12,"C","","","","☻","●","☻","","","","",,,,
13,"D","","☻","","☻","●","☻","","","","","cr","cr",,
14,"E","","","☻","☻","●","☻","","","","","´","`",,
15,"F","","☻","☻","☻","●","☻","","","","",,,,
16,"10","","","","","●","","☻","","","",,,"space","space"
17,"11","","☻","","","●","","☻","","","",,,,
18,"12","","","☻","","●","","☻","","","",,,,
19,"13","","☻","☻","","●","","☻","","","",3,":",3,";"
20,"14","","","","☻","●","","☻","","","",,,,
21,"15","","☻","","☻","●","","☻","","","",5,"%",5,"%"
22,"16","","","☻","☻","●","","☻","","","",6,"*",6,"?"
23,"17","","☻","☻","☻","●","","☻","","","",,,,
24,"18","","","","","●","☻","☻","","","",,,,
25,"19","","☻","","","●","☻","☻","","","","stop read","stop read",9,"("
26,"1A","","","☻","","●","☻","☻","","","",",",",",,
27,"1B","","☻","☻","","●","☻","☻","","","",,,,
28,"1C","","","","☻","●","☻","☻","","","","tab","tab",,
29,"1D","","☻","","☻","●","☻","☻","","","",,,,
30,"1E","","","☻","☻","●","☻","☻","","","",,,,
31,"1F","","☻","☻","☻","●","☻","☻","","","","switch read","switch read",,
32,"20"," ","","","","●","","","☻","","",7,"/",0,")"
33,"21","!","☻","","","●","","","☻","","",,,,
34,"22","""","","☻","","●","","","☻","","",,,,
35,"23","#","☻","☻","","●","","","☻","","","e","E","t","T"
36,"24","$","","","☻","●","","","☻","","",,,,
37,"25","%","☻","","☻","●","","","☻","","","g","G","v","V"
38,"26","&","","☻","☻","●","","","☻","","","h","H","w","W"
39,"27","'","☻","☻","☻","●","","","☻","","",,,,
40,"28","(","","","","●","☻","","☻","","",,,,
41,"29",")","☻","","","●","☻","","☻","","","a","A","z","Z"
42,"2A","*","","☻","","●","☻","","☻","","",,,"backspace","backspace"
43,"2B","+","☻","☻","","●","☻","","☻","","",,,,
44,"2C",",","","","☻","●","☻","","☻","","",,,,
45,"2D","-","☻","","☻","●","☻","","☻","","",,,,
46,"2E",".","","☻","☻","●","☻","","☻","","",,,,
47,"2F","/","☻","☻","☻","●","☻","","☻","","",,,"lowercase","lowercase"
48,"30","0","","","","●","","☻","☻","","",,,,
49,"31","1","☻","","","●","","☻","☻","","","c",,"´","`"
50,"32","2","","☻","","●","","☻","☻","","","d",,"s","S"
51,"33","3","☻","☻","","●","","☻","☻","","",,,,
52,"34","4","","","☻","●","","☻","☻","","","f",,"u","U"
53,"35","5","☻","","☻","●","","☻","☻","","",,,,
54,"36","6","","☻","☻","●","","☻","☻","","",,,,
55,"37","7","☻","☻","☻","●","","☻","☻","","","lowercase","lowercase","x","X"
56,"38","8","","","","●","☻","☻","☻","","","b",,"y","Y"
57,"39","9","☻","","","●","☻","☻","☻","","",,,,
58,"3A",":","","☻","","●","☻","☻","☻","","",,,,
59,"3B",";","☻","☻","","●","☻","☻","☻","","",,,",","'"
60,"3C","<","","","☻","●","☻","☻","☻","","",,,,
61,"3D","=","☻","","☻","●","☻","☻","☻","","",,,,
62,"3E",">","","☻","☻","●","☻","☻","☻","","",,,"uppercase","uppercase"
63,"3F","?","☻","☻","☻","●","☻","☻","☻","","",,,,
64,"40","@","","","","●","","","","☻","",8,"+",,
65,"41","A","☻","","","●","","","","☻","",,,,
66,"42","B","","☻","","●","","","","☻","",,,,
67,"43","C","☻","☻","","●","","","","☻","","n","N","l","L"
68,"44","D","","","☻","●","","","","☻","",,,,
69,"45","E","☻","","☻","●","","","","☻","","q","Q","n","N"
70,"46","F","","☻","☻","●","","","","☻","","r","R","o","O"
71,"47","G","☻","☻","☻","●","","","","☻","",,,,
72,"48","H","","","","●","☻","","","☻","",,,,
73,"49","I","☻","","","●","☻","","","☻","","j","J","r","R"
74,"4A","J","","☻","","●","☻","","","☻","",,,,
75,"4B","K","☻","☻","","●","☻","","","☻","",,,,
76,"4C","L","","","☻","●","☻","","","☻","",,,"punch on","punch on"
77,"4D","M","☻","","☻","●","☻","","","☻","",,,,
78,"4E","N","","☻","☻","●","☻","","","☻","",,,,
79,"4F","O","☻","☻","☻","●","☻","","","☻","",,,,
80,"50","P","","","","●","","☻","","☻","",,,,
81,"51","Q","☻","","","●","","☻","","☻","","l","L","j","J"
82,"52","R","","☻","","●","","☻","","☻","","m","M","k","K"
83,"53","S","☻","☻","","●","","☻","","☻","",,,,
84,"54","T","","","☻","●","","☻","","☻","","p","P","m","M"
85,"55","U","☻","","☻","●","","☻","","☻","",,,,
86,"56","V","","☻","☻","●","","☻","","☻","",,,,
87,"57","W","☻","☻","☻","●","","☻","","☻","","uppercase","uppercase","p","P"
88,"58","X","","","","●","☻","☻","","☻","","k","K","q","Q"
89,"59","Y","☻","","","●","☻","☻","","☻","",,,,
90,"5A","Z","","☻","","●","☻","☻","","☻","",,,,
91,"5B","[","☻","☻","","●","☻","☻","","☻","",,,"^","¨"
